"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257638072855463,0.213327163350301,0.29677333239992,0.225611781641014,0.365590281383033,0.235796444754269,0.272915129151292,0.231805344340647,0.248245938018404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25610627053278,0.741013425725422,0.280631719232581,0.3755389630876,0.233734509056244,0.242324259921179,0.294657489347755,0.382445141065829,0.296533742508218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24525355469713,NA,0.221971564975604,0.274799021321216,NA,0.26041511124384,NA,0.219035823170732,0.254595856434198,0.186391513343279,0.213752983293557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224238300446056,NA,0.391910879164994,0.297095241803597,NA,0.274815164385716,NA,0.598495028218221,0.246274055852987,0.962803234501348,0.484185918591859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209737151115527,0.194144069206455,0.252037369264323,0.27512073457322,0.546139673464375,0.792378449408673,0.220115082259501,0.255160298638559,0.240133407448581,0.242305173542893,0.658274485723057,0.52124849939976,0.192671503352006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.582454947296837,0.567980446073938,0.25446947778253,0.265556479914709,0.245849343183696,0.220167189132706,0.215904603964304,0.248022598870056,0.252568241855003,0.237447135717031,0.191241462434714,0.216810758885686,0.637378465970471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322219135468976,0.204561321852454,0.260873178271695,NA,0.220449601160261,0.239578342117871,0.156559555448176,NA,NA,0.261589953548249,0.390605465261654,0.272063702720636,0.238745919684202,0.224781739770695,0.4302978515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341974930540667,0.407345575959933,0.26380417968218,NA,0.546698597331509,0.237039302645664,0.670176075512798,NA,NA,0.24625130858429,0.285515496521189,0.259445665272559,0.236464846728686,0.505726341169379,0.216342001727282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232881154407393,0.261356045424181,0.266052851847422,0.218073292615213,0.204654895666132,0.201047377465019,0.284294297339399,0.251085117339806,0.266636315350178,0.3217579696959,0.279925477410339,0.289723177313633,0.390051023874344,0.252597047566977,0.45307582260372,0.535747446610956,0.224351624351624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416004130098088,0.254123871770929,0.422407862407861,0.554920100925147,0.644270122783083,0.933082706766917,0.308513641435879,0.267589590817488,0.267331323904474,0.277735780549467,0.275299004511924,0.267209745552839,0.239458232552825,0.373501250754766,0.224683176374839,0.20916124494461,0.380226868327402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216334894613582,0.24363041031413,0.25,0.397130196243934,0.283919839721639,0.548490515629174,0.175653460463587,0.964769647696476,0.256596906278434,0.916102564102564,0.281331389697638,0.262363850456284,0.270780456852791,0.324025440281359,0.506592643997224,0.464767264626566,0.215482502651113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693275800071916,0.478998911860717,0.27030539311241,0.26720228067902,0.274774773477599,0.228265434691306,0.804905239687848,0.180057161003493,0.277841158402807,0.193071061492114,0.27026657137333,0.245404901438466,0.254158155821417,0.263636376630797,0.241599190283402,0.229735988883742,0.501868841318382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
